Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
126,0.0002270820393249937,0.9531,82.18,76.49,81.62,78.14,95.82,75.97,72.92,88.35,94.12
127,0.00022671139386982192,0.9502,82.17,76.63,81.98,77.81,95.80,75.88,73.54,88.02,94.12
128,0.00022633809702293374,0.9502,82.16,76.27,82.21,77.53,95.77,75.95,73.12,88.26,94.12
129,0.00022596215901845088,0.9439,82.19,76.23,82.23,77.35,95.87,75.98,73.75,88.35,100.00
130,0.00022558359016290356,0.9472,82.25,75.83,82.35,77.46,95.89,76.13,74.38,88.35,100.00
131,0.00022520240083494824,0.9480,82.07,75.48,82.12,77.17,95.91,75.88,73.75,88.60,100.00
132,0.00022481860148508282,0.9423,82.08,75.48,81.98,77.46,95.91,75.96,73.54,88.18,94.12
133,0.0002244322026353605,0.9505,82.29,76.01,82.04,77.92,95.98,76.20,72.92,88.35,94.12
134,0.00022404321487910078,0.9428,82.42,76.23,82.12,78.60,96.09,76.20,72.71,88.26,100.00
135,0.00022365164888059957,0.9475,82.29,76.18,81.70,78.17,96.05,76.17,72.71,88.35,100.00
136,0.0002232575153748365,0.9506,82.30,75.96,81.84,77.96,96.02,76.25,72.92,88.43,100.00
137,0.00022286082516718075,0.9424,82.30,76.32,81.70,77.88,96.07,76.23,72.29,88.51,100.00
138,0.0002224615891330947,0.9482,82.28,76.14,82.15,77.63,96.00,76.15,73.12,88.51,94.12
139,0.00022205981821783597,0.9425,82.25,76.36,82.15,77.81,95.87,76.02,73.33,88.35,94.12
140,0.0002216555234361571,0.9592,82.30,76.58,82.21,77.85,95.96,76.07,72.50,88.35,94.12
141,0.00022124871587200372,0.9474,82.27,76.58,81.98,77.99,95.80,76.08,73.33,88.26,100.00
142,0.00022083940667821076,0.9434,82.26,76.58,82.01,77.74,95.86,76.05,73.96,88.26,100.00
143,0.00022042760707619656,0.9350,82.07,76.36,81.53,77.96,95.86,75.78,74.17,87.69,100.00
144,0.00022001332835565516,0.9336,82.06,75.96,81.53,77.67,95.87,75.86,74.17,88.26,100.00
145,0.00021959658187424696,0.9441,82.17,76.49,81.62,77.63,95.98,75.89,73.96,88.60,100.00
146,0.00021917737905728733,0.9408,82.18,76.45,81.98,77.31,95.95,75.95,73.75,88.35,100.00
147,0.00021875573139743318,0.9309,82.11,76.54,81.45,77.49,95.96,75.88,73.96,88.35,100.00
148,0.00021833165045436812,0.9301,82.13,76.27,81.39,77.28,95.91,76.03,74.58,88.84,100.00
149,0.00021790514785448545,0.9328,82.22,76.54,81.42,77.71,95.95,76.09,73.75,88.84,94.12
150,0.0002174762352905694,0.9345,82.28,76.58,81.56,77.74,95.95,76.13,74.38,88.93,100.00
151,0.00021704492452147452,0.9510,82.34,76.72,81.81,77.67,95.80,76.26,74.17,89.01,100.00
152,0.00021661122737180345,0.9312,82.42,77.07,81.73,78.03,95.80,76.32,75.00,88.68,100.00
153,0.00021617515573158267,0.9324,82.36,76.54,81.67,77.81,95.89,76.37,74.17,88.76,100.00
154,0.0002157367215559364,0.9388,82.34,76.41,81.90,77.74,95.91,76.27,74.17,88.76,100.00
155,0.00021529593686475912,0.9391,82.34,76.32,82.07,77.56,96.02,76.22,73.96,88.68,100.00
156,0.0002148528137423857,0.9268,82.30,76.63,82.01,77.46,96.02,76.12,73.33,88.68,100.00
157,0.00021440736433726046,0.9325,82.29,76.41,81.93,77.74,96.05,76.08,73.96,88.43,100.00
158,0.00021395960086160388,0.9283,82.32,76.41,81.87,77.85,96.05,76.07,74.58,88.93,94.12
159,0.00021350953559107772,0.9355,82.36,77.07,81.67,77.99,95.98,76.12,74.17,88.60,100.00
160,0.0002130571808644488,0.9264,82.43,76.89,81.73,78.56,96.00,76.18,74.17,88.43,100.00
161,0.00021260254908325046,0.9228,82.40,77.20,81.73,78.24,96.03,76.10,73.75,88.51,100.00
162,0.00021214565271144266,0.9191,82.35,77.11,81.70,78.56,96.05,75.83,74.58,88.60,100.00
163,0.00021168650427507015,0.9342,82.32,77.07,81.81,78.21,96.14,75.77,74.58,88.60,94.12
164,0.00021122511636191928,0.9150,82.27,76.72,81.98,78.06,96.09,75.77,73.75,88.60,100.00
165,0.0002107615016211728,0.9193,82.30,76.80,81.95,78.06,96.05,75.89,73.96,88.43,100.00
166,0.000210295672763063,0.9239,82.33,76.58,81.79,78.10,96.09,76.05,74.58,88.26,100.00
167,0.00020982764255852328,0.9202,82.36,76.63,81.76,78.06,96.07,76.23,74.17,87.93,100.00
168,0.00020935742383883823,0.9234,82.25,76.58,81.45,77.88,96.03,76.07,74.17,88.35,100.00
169,0.0002088850294952915,0.9208,82.27,76.58,81.87,77.46,96.14,76.01,74.38,88.43,100.00
170,0.00020841047247881268,0.9174,82.31,76.76,82.09,77.56,96.23,75.88,73.96,88.76,94.12
171,0.00020793376579962208,0.9176,82.31,76.67,82.26,77.60,96.23,75.92,73.33,88.26,94.12
172,0.00020745492252687407,0.9222,82.32,76.76,82.23,77.78,96.16,75.95,73.12,88.26,94.12
173,0.00020697395578829896,0.9179,82.32,76.58,81.98,77.78,96.16,76.03,73.33,88.51,94.12
174,0.00020649087876984277,0.9167,82.36,76.58,82.51,77.60,96.09,76.19,71.46,88.18,94.12
175,0.000206005704715306,0.9112,82.47,76.80,82.82,77.46,96.19,76.20,72.50,88.35,94.12
176,0.0002055184469259805,0.9081,82.41,76.54,82.80,77.49,96.07,76.07,72.92,89.01,100.00
177,0.00020502911876028464,0.9082,82.32,76.41,82.32,77.56,96.03,76.04,73.12,89.01,100.00
178,0.00020453773363339727,0.9161,82.38,76.54,82.40,77.63,96.14,76.02,73.75,89.01,100.00
179,0.00020404430501688985,0.9190,82.40,76.67,82.29,77.60,96.14,76.11,73.33,88.93,100.00
180,0.00020354884643835719,0.9039,82.40,77.16,82.37,77.46,96.05,76.13,72.29,88.84,100.00
181,0.0002030513714810465,0.9181,82.46,76.94,82.40,77.42,96.25,76.26,72.71,88.51,94.12
182,0.000202551893783485,0.9116,82.50,76.54,82.26,77.42,96.28,76.48,72.71,88.68,100.00
183,0.00020205042703910607,0.9193,82.40,76.36,82.29,77.21,96.27,76.32,72.29,88.76,100.00
184,0.0002015469849958739,0.9146,82.35,76.10,82.12,77.67,96.21,76.19,72.29,89.01,88.24
185,0.00020104158145590635,0.9114,82.40,76.23,82.15,77.81,96.25,76.12,73.54,89.17,88.24
186,0.00020053423027509678,0.8995,82.58,76.45,82.40,78.21,96.23,76.39,73.96,88.84,94.12
187,0.00020002494536273412,0.9143,82.43,76.14,82.15,77.85,96.21,76.29,73.54,88.93,94.12
188,0.00019951374068112146,0.9071,82.47,76.18,82.18,77.85,96.19,76.39,73.33,88.93,94.12
189,0.00019900063024519345,0.9080,82.50,76.45,82.09,77.67,96.27,76.47,72.92,89.01,88.24
190,0.00019848562812213184,0.9097,82.33,76.01,81.90,77.24,96.25,76.27,74.17,88.93,94.12
191,0.00019796874843097995,0.9153,82.29,76.14,81.81,77.42,96.23,76.16,73.54,88.68,100.00
192,0.0001974500053422557,0.9127,82.36,76.41,81.84,77.60,96.12,76.33,72.92,88.68,100.00
193,0.0001969294130775628,0.9160,82.42,76.49,82.09,77.67,96.23,76.22,73.33,89.01,100.00
194,0.0001964069859092013,0.9046,82.50,76.41,81.73,77.92,96.25,76.54,73.75,88.76,94.12
195,0.00019588273815977582,0.9171,82.45,76.89,81.76,77.85,96.19,76.34,73.33,88.76,100.00
196,0.00019535668420180325,0.9090,82.45,76.85,81.87,77.74,96.21,76.27,73.75,88.93,100.00
197,0.00019482883845731863,0.8993,82.40,76.54,82.01,77.71,96.25,76.13,73.96,88.93,100.00
198,0.0001942992153974796,0.9050,82.34,76.58,82.01,77.63,96.27,76.00,73.12,89.01,100.00
199,0.00019376782954216994,0.8949,82.38,76.67,82.04,77.46,96.28,76.19,72.29,88.93,100.00
200,0.00019323469545960134,0.9090,82.38,76.27,81.93,77.35,96.35,76.38,72.29,88.68,94.12
201,0.00019269982776591387,0.9084,82.27,76.27,81.87,76.88,96.37,76.25,71.88,88.76,88.24
202,0.00019216324112477563,0.9014,82.28,76.27,82.43,77.06,96.34,76.00,72.08,88.68,88.24
203,0.0001916249502469804,0.9046,82.34,76.10,82.46,77.46,96.50,75.94,71.88,88.84,94.12
204,0.00019108496989004455,0.8950,82.31,75.92,82.12,77.46,96.35,76.09,72.08,89.17,94.12
205,0.00019054331485780231,0.8894,82.32,75.92,82.23,77.53,96.34,76.07,71.88,89.09,94.12
206,0.00019,0.9060,82.19,75.70,81.87,77.56,96.32,76.03,71.46,88.60,88.24
207,0.0001894550402118889,0.8956,82.21,75.56,81.81,77.60,96.32,76.05,71.67,88.84,94.12
