Epoch,LR,Train Loss,Global Val Acc,Phase,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
239,0.00037813676029916667,0.6988,82.47,LDAM,74.86,82.29,78.21,96.21,76.60,73.12,88.84,88.24
240,0.00037438284026714046,0.7080,82.46,LDAM,74.55,82.40,78.24,96.25,76.60,72.50,88.84,88.24
241,0.0003706369773167883,0.7038,82.38,DRW,74.77,82.18,77.78,96.35,76.57,71.88,88.60,88.24
242,0.00036689940251058157,0.6969,82.32,DRW,74.81,81.98,77.60,96.37,76.54,72.08,88.35,88.24
243,0.0003631703463997399,0.6989,82.37,DRW,74.72,81.95,77.42,96.39,76.78,71.25,88.51,88.24
244,0.0003594500390100096,0.6923,82.36,DRW,74.81,82.12,77.56,96.32,76.69,70.62,88.60,88.24
245,0.0003557387098274748,0.7006,82.37,DRW,74.50,82.32,77.74,96.39,76.60,70.83,88.60,88.24
246,0.0003520365877844012,0.7030,82.40,DRW,74.68,82.21,77.88,96.46,76.57,71.46,88.35,88.24
247,0.00034834390124511487,0.7035,82.31,DRW,74.68,81.95,77.96,96.43,76.46,71.46,88.18,88.24
248,0.00034466087799191604,0.7062,82.48,DRW,74.81,82.32,77.99,96.53,76.62,71.46,88.51,88.24
249,0.00034098774521102733,0.6957,82.43,DRW,74.63,82.21,77.81,96.48,76.65,71.67,88.43,88.24
250,0.0003373247294785808,0.6934,82.48,DRW,74.72,82.37,78.10,96.44,76.56,72.08,88.84,88.24
251,0.000333672056746641,0.6891,82.41,DRW,74.68,82.01,78.14,96.43,76.54,72.08,88.76,88.24
252,0.0003300299523292678,0.6883,82.45,DRW,74.72,82.12,78.17,96.46,76.53,72.29,88.93,88.24
253,0.00032639864088861745,0.6883,82.43,DRW,74.55,82.26,78.10,96.50,76.46,72.08,88.93,88.24
254,0.00032277834642108455,0.6827,82.37,DRW,74.41,82.12,78.17,96.50,76.33,72.50,89.01,88.24
255,0.000319169292243485,0.6818,82.33,DRW,74.24,82.07,77.78,96.53,76.40,72.29,89.01,88.24
256,0.0003155717009792807,0.6730,82.25,DRW,74.10,81.98,77.92,96.44,76.33,72.29,88.51,88.24
257,0.00031198579454484683,0.6869,82.25,DRW,74.15,82.18,77.78,96.44,76.27,72.29,88.51,88.24
258,0.0003084117941357836,0.6866,82.27,DRW,74.24,82.23,77.71,96.46,76.29,72.29,88.60,88.24
259,0.00030484992021327125,0.6759,82.30,DRW,74.02,82.23,77.46,96.51,76.40,72.92,89.01,88.24
260,0.0003013003924904712,0.6852,82.32,DRW,74.06,82.46,77.49,96.46,76.41,73.12,88.68,88.24
261,0.000297763429918973,0.6897,82.30,DRW,74.06,82.46,77.56,96.50,76.33,72.92,88.51,88.24
262,0.0002942392506752891,0.6833,82.30,DRW,74.19,82.37,77.74,96.48,76.26,72.71,88.76,88.24
263,0.0002907280721473951,0.6689,82.33,DRW,74.10,82.32,78.06,96.51,76.24,73.12,88.84,88.24
264,0.000287230110921322,0.6843,82.30,DRW,74.41,81.98,78.06,96.55,76.23,71.88,88.93,88.24
265,0.00028374558276779514,0.6836,82.41,DRW,74.72,82.12,78.14,96.66,76.31,72.08,88.93,88.24
266,0.0002802747026289244,0.6719,82.37,DRW,74.32,82.09,78.56,96.67,76.19,71.88,88.76,88.24
267,0.00027681768460494625,0.6650,82.38,DRW,74.59,82.46,78.46,96.62,76.05,71.46,89.01,88.24
268,0.0002733747419410163,0.6742,82.40,DRW,74.63,82.37,78.53,96.71,76.03,71.46,89.17,88.24
269,0.00026994608701405554,0.6790,82.40,DRW,74.63,82.49,78.46,96.67,76.10,71.46,88.84,88.24
270,0.0002665319313196509,0.6653,82.41,DRW,74.46,82.37,78.60,96.64,76.12,71.88,89.09,88.24
271,0.00026313248545900726,0.6663,82.45,DRW,74.50,82.51,78.53,96.55,76.19,72.08,89.34,88.24
272,0.00025974795912595824,0.6619,82.43,DRW,74.24,82.35,78.64,96.55,76.25,72.08,89.34,88.24
273,0.00025637856109403064,0.6631,82.38,DRW,74.10,82.40,78.74,96.59,76.05,72.50,89.17,88.24
274,0.0002530244992035662,0.6592,82.36,DRW,74.19,82.43,78.67,96.55,76.02,72.50,89.09,94.12
275,0.00024968598034890154,0.6632,82.39,DRW,74.41,82.26,78.53,96.51,76.19,72.71,89.01,94.12
276,0.0002463632104656054,0.6582,82.45,DRW,74.32,82.29,78.64,96.57,76.31,72.71,88.93,94.12
277,0.00024305639451777572,0.6635,82.37,DRW,74.24,82.26,78.31,96.62,76.26,71.46,88.93,88.24
278,0.00023976573648539653,0.6513,82.32,DRW,74.15,82.12,78.10,96.55,76.23,72.08,89.34,88.24
279,0.00023649143935175614,0.6571,82.34,DRW,74.24,81.98,78.06,96.53,76.34,72.08,89.42,88.24
280,0.0002332337050909247,0.6485,82.36,DRW,74.32,81.84,77.88,96.60,76.37,73.12,89.42,88.24
281,0.00022999273465529687,0.6558,82.40,DRW,74.24,82.15,77.92,96.62,76.40,72.71,89.34,88.24
282,0.0002267687279631953,0.6445,82.34,DRW,73.71,82.18,78.10,96.51,76.39,72.50,89.17,88.24
283,0.00022356188388653931,0.6395,82.43,DRW,73.84,82.18,78.28,96.53,76.56,72.50,88.93,94.12
284,0.0002203724002385771,0.6529,82.44,DRW,73.93,82.18,78.49,96.53,76.50,72.08,89.09,94.12
285,0.00021720047376168385,0.6456,82.41,DRW,74.15,82.26,78.56,96.57,76.37,71.04,89.01,94.12
286,0.00021404630011522585,0.6427,82.47,DRW,74.24,82.09,78.74,96.69,76.44,70.42,89.17,94.12
287,0.00021091007386349095,0.6630,82.41,DRW,73.79,82.29,78.53,96.75,76.34,70.62,89.09,94.12
288,0.00020779198846368748,0.6611,82.40,DRW,73.79,82.26,78.60,96.67,76.30,71.67,89.17,94.12
289,0.00020469223625401006,0.6437,82.35,DRW,73.75,82.12,78.64,96.69,76.20,71.67,89.01,94.12
290,0.00020161100844177658,0.6365,82.38,DRW,73.53,82.46,78.64,96.69,76.18,71.25,89.34,94.12
291,0.00019854849509163213,0.6498,82.32,DRW,73.71,82.32,78.74,96.67,76.05,70.42,89.26,94.12
292,0.00019550488511382592,0.6501,82.35,DRW,73.75,82.18,78.74,96.66,76.18,71.04,89.17,94.12
293,0.000192480366252558,0.6497,82.40,DRW,73.93,82.15,78.85,96.60,76.32,71.46,88.93,94.12
294,0.00018947512507439858,0.6494,82.40,DRW,73.75,82.23,78.89,96.60,76.31,71.46,88.93,94.12
295,0.00018648934695677944,0.6536,82.40,DRW,73.84,82.18,78.89,96.62,76.25,71.67,89.17,94.12
296,0.00018352321607655915,0.6437,82.39,DRW,73.88,82.18,78.81,96.66,76.23,71.88,89.01,94.12
297,0.00018057691539866206,0.6294,82.45,DRW,73.84,82.09,79.10,96.75,76.29,72.29,88.76,94.12
298,0.00017765062666479239,0.6348,82.39,DRW,73.97,82.15,79.28,96.76,76.07,71.88,88.51,94.12
299,0.00017474453038222323,0.6382,82.44,DRW,73.84,82.07,79.28,96.73,76.27,71.67,88.76,94.12
300,0.00017185880581266214,0.6388,82.42,DRW,73.79,82.18,79.24,96.69,76.19,71.67,88.93,94.12
301,0.00016899363096119381,0.6355,82.36,DRW,73.57,81.98,79.35,96.73,76.12,71.25,88.84,94.12
302,0.00016614918256529907,0.6287,82.33,DRW,73.62,81.93,79.10,96.71,76.17,71.46,88.60,94.12
303,0.0001633256360839536,0.6389,82.34,DRW,73.75,82.15,79.03,96.71,76.12,71.25,88.43,94.12
304,0.00016052316568680443,0.6292,82.32,DRW,73.53,82.07,78.96,96.69,76.17,71.67,88.51,94.12
305,0.00015774194424342643,0.6335,82.39,DRW,73.62,82.07,79.06,96.71,76.32,71.67,88.43,94.12
306,0.000154982143312659,0.6267,82.45,DRW,73.62,82.15,78.96,96.80,76.40,71.67,88.51,94.12
307,0.00015224393313202335,0.6273,82.39,DRW,73.13,82.12,78.92,96.76,76.41,71.46,88.60,94.12
308,0.0001495274826072216,0.6303,82.35,DRW,73.09,82.01,78.67,96.76,76.40,71.88,88.76,94.12
309,0.00014683295930171763,0.6294,82.34,DRW,73.04,81.95,78.85,96.67,76.42,71.46,88.68,94.12
310,0.0001441605294264014,0.6215,82.40,DRW,73.04,82.21,78.78,96.67,76.52,71.46,88.84,94.12
311,0.0001415103578293356,0.6238,82.43,DRW,73.35,82.04,78.99,96.73,76.44,72.08,88.84,94.12
312,0.00013888260798558815,0.6143,82.44,DRW,73.44,82.04,78.92,96.76,76.48,71.67,88.84,88.24
313,0.00013627744198714705,0.6210,82.41,DRW,73.35,81.93,78.85,96.76,76.47,71.67,88.84,94.12
314,0.0001336950205329225,0.6226,82.45,DRW,73.31,82.04,79.14,96.73,76.49,71.88,88.60,94.12
315,0.00013113550291883415,0.6227,82.47,DRW,73.40,81.98,79.06,96.78,76.56,71.46,88.60,94.12
316,0.0001285990470279847,0.6191,82.50,DRW,73.57,81.81,79.06,96.83,76.62,71.67,88.76,94.12
317,0.00012608580932092143,0.6148,82.40,DRW,73.71,81.87,78.71,96.83,76.45,71.25,88.60,94.12
318,0.00012359594482598438,0.6158,82.43,DRW,73.62,82.09,78.64,96.80,76.45,71.46,88.76,94.12
319,0.00012112960712974399,0.6173,82.40,DRW,73.44,82.01,78.71,96.80,76.46,71.25,88.76,94.12
320,0.00011868694836752685,0.6190,82.48,DRW,73.57,82.21,78.67,96.82,76.57,71.46,88.60,94.12
321,0.00011626811921403119,0.6129,82.48,DRW,73.71,82.23,78.64,96.83,76.54,71.25,88.60,94.12
322,0.00011387326887403324,0.6156,82.47,DRW,73.97,82.15,78.53,96.87,76.54,70.62,88.35,94.12
323,0.00011150254507318254,0.6078,82.41,DRW,73.71,81.93,78.78,96.87,76.53,69.58,88.26,94.12
324,0.00010915609404889016,0.6034,82.44,DRW,73.66,81.90,78.85,96.85,76.62,69.79,88.18,94.12
325,0.00010683406054130817,0.5955,82.47,DRW,73.48,82.04,79.03,96.89,76.61,70.42,88.10,94.12
326,0.00010453658778440107,0.6117,82.50,DRW,73.31,81.95,79.10,96.83,76.76,70.21,88.26,94.12
327,0.00010226381749711047,0.6073,82.49,DRW,73.75,81.90,79.03,96.89,76.63,69.79,88.35,94.12
328,0.00010001588987461347,0.6189,82.43,DRW,73.62,81.87,78.92,96.96,76.48,70.00,88.51,94.12
329,9.779294357967445e-05,0.5996,82.46,DRW,73.62,81.95,78.78,96.98,76.49,70.42,88.76,94.12
330,9.559511573409194e-05,0.6086,82.45,DRW,73.62,81.90,78.56,96.96,76.53,70.42,89.01,94.12
331,9.342254191024022e-05,0.5966,82.57,DRW,73.79,82.04,78.60,96.98,76.77,70.00,89.09,94.12
332,9.127535612270633e-05,0.6141,82.59,DRW,73.66,82.04,79.14,96.96,76.67,70.62,89.09,94.12
333,8.915369082002375e-05,0.6002,82.51,DRW,73.79,81.98,78.85,96.87,76.60,70.62,89.01,94.12
334,8.705767687650265e-05,0.5983,82.57,DRW,73.84,82.01,78.74,96.83,76.70,71.25,89.34,94.12
335,8.498744358415573e-05,0.6097,82.55,DRW,73.93,82.12,78.85,96.82,76.61,71.25,89.01,94.12
336,8.294311864472448e-05,0.5884,82.56,DRW,74.10,81.93,78.89,96.82,76.63,71.46,89.01,94.12
337,8.092482816180048e-05,0.6073,82.56,DRW,74.24,81.98,78.99,96.83,76.57,71.25,88.76,94.12
338,7.893269663304783e-05,0.6067,82.48,DRW,74.19,82.04,79.17,96.83,76.37,70.42,88.60,94.12
339,7.696684694252328e-05,0.5956,82.44,DRW,74.10,81.81,78.96,96.83,76.41,70.62,88.60,94.12
340,7.50274003530953e-05,0.5941,82.48,DRW,74.19,81.81,78.78,96.89,76.55,70.42,88.51,94.12
341,7.311447649896551e-05,0.5932,82.46,DRW,74.15,81.76,78.49,96.92,76.61,70.42,88.51,94.12
342,7.122819337828752e-05,0.6003,82.39,DRW,74.15,81.59,78.64,96.89,76.47,70.83,88.26,94.12
343,6.93686673458898e-05,0.5899,82.43,DRW,73.71,81.76,78.74,96.89,76.55,71.04,88.51,94.12
344,6.753601310609673e-05,0.5794,82.51,DRW,73.57,81.95,78.81,96.91,76.70,70.83,88.51,94.12
345,6.573034370565489e-05,0.5867,82.49,DRW,73.44,81.93,78.96,96.92,76.65,70.62,88.51,94.12
346,6.395177052675794e-05,0.5863,82.43,DRW,73.13,81.87,78.89,96.92,76.61,70.62,88.35,94.12
347,6.220040328017773e-05,0.5835,82.55,DRW,73.62,81.98,78.92,97.00,76.70,70.62,88.60,94.12
348,6.047634999849531e-05,0.5834,82.55,DRW,73.48,81.90,79.03,97.00,76.67,71.88,88.60,94.12
349,5.877971702943833e-05,0.5875,82.51,DRW,73.35,81.95,78.99,96.96,76.59,72.71,88.43,94.12
350,5.711060902932042e-05,0.5891,82.54,DRW,73.26,81.95,79.17,96.94,76.61,72.50,88.76,94.12
351,5.546912895658472e-05,0.5755,82.54,DRW,73.17,82.01,79.17,96.92,76.63,72.50,88.60,94.12
352,5.385537806545469e-05,0.5818,82.51,DRW,73.09,81.93,79.17,96.89,76.61,72.50,88.76,94.12
353,5.226945589968626e-05,0.5854,82.53,DRW,73.22,82.21,78.99,96.91,76.57,72.08,88.93,94.12
354,5.0711460286429444e-05,0.5775,82.58,DRW,73.22,82.29,79.06,96.96,76.63,72.71,88.51,94.12
355,4.918148733019204e-05,0.5852,82.60,DRW,73.04,82.26,79.17,97.01,76.63,73.12,88.60,94.12
356,4.767963140691317e-05,0.5643,82.62,DRW,73.00,82.37,79.06,96.96,76.71,72.92,88.76,94.12
357,4.620598515814021e-05,0.5790,82.57,DRW,72.95,82.26,78.96,97.03,76.72,72.29,88.35,94.12
358,4.4760639485315584e-05,0.5843,82.53,DRW,72.78,82.21,78.85,97.01,76.69,72.92,88.43,94.12
359,4.334368354416847e-05,0.5762,82.56,DRW,72.78,82.21,78.56,96.98,76.79,73.54,88.84,94.12
360,4.195520473921565e-05,0.5834,82.52,DRW,72.69,82.12,78.64,97.00,76.75,73.54,88.43,94.12
361,4.059528871837039e-05,0.5809,82.47,DRW,72.73,82.09,78.71,96.94,76.57,73.33,88.93,94.12
362,3.92640193676584e-05,0.5814,82.49,DRW,72.82,81.95,78.60,96.94,76.68,73.54,89.01,94.12
363,3.796147880604422e-05,0.5738,82.41,DRW,72.64,81.84,78.64,96.92,76.65,72.71,88.51,94.12
364,3.668774738036508e-05,0.5770,82.38,DRW,72.73,81.70,78.53,96.98,76.61,72.50,88.51,88.24
365,3.544290366037528e-05,0.5756,82.40,DRW,72.73,81.84,78.39,96.94,76.64,72.50,88.76,88.24
366,3.4227024433899005e-05,0.5692,82.37,DRW,72.55,81.90,77.96,96.94,76.72,72.50,88.76,88.24
367,3.304018470209441e-05,0.5865,82.39,DRW,72.47,82.07,78.06,97.01,76.64,72.50,88.84,88.24
368,3.188245767482659e-05,0.5625,82.39,DRW,72.55,81.95,78.17,97.01,76.60,72.71,89.01,88.24
369,3.075391476615199e-05,0.5584,82.45,DRW,72.64,81.90,78.24,97.07,76.72,72.50,88.93,88.24
370,2.9654625589913237e-05,0.5610,82.39,DRW,72.64,81.53,78.28,97.05,76.75,72.29,88.84,88.24
371,2.85846579554446e-05,0.5662,82.46,DRW,72.64,81.53,78.56,97.08,76.83,72.50,88.68,88.24
372,2.754407786339001e-05,0.5680,82.38,DRW,72.55,81.67,78.49,97.07,76.64,72.08,88.68,88.24
373,2.65329495016309e-05,0.5670,82.37,DRW,72.73,81.79,78.53,97.01,76.54,72.29,88.60,88.24
374,2.5551335241327672e-05,0.5710,82.30,DRW,72.47,81.73,78.46,97.05,76.41,72.50,88.68,88.24
375,2.4599295633071483e-05,0.5656,82.33,DRW,72.78,81.73,78.67,97.00,76.35,73.12,88.51,88.24
376,2.3676889403150105e-05,0.5704,82.37,DRW,72.95,81.53,78.78,97.00,76.48,72.29,88.76,88.24
377,2.2784173449924576e-05,0.5664,82.43,DRW,72.69,81.64,79.03,97.01,76.57,72.71,88.60,88.24
378,2.1921202840320077e-05,0.5627,82.40,DRW,72.73,81.48,78.96,97.03,76.62,72.92,88.26,88.24
379,2.1088030806428655e-05,0.5665,82.45,DRW,72.64,81.64,78.74,96.98,76.75,72.71,88.68,88.24
380,2.0284708742225903e-05,0.5651,82.45,DRW,72.86,81.67,78.78,96.98,76.74,71.88,88.51,88.24
381,1.9511286200400937e-05,0.5592,82.40,DRW,72.55,81.70,78.81,96.98,76.69,72.08,88.26,88.24
382,1.8767810889299086e-05,0.5686,82.47,DRW,72.78,81.93,78.89,96.96,76.70,72.29,88.35,88.24
383,1.8054328669979762e-05,0.5611,82.48,DRW,72.51,81.93,78.92,97.07,76.75,72.50,88.10,88.24
384,1.7370883553386936e-05,0.5646,82.53,DRW,72.60,82.18,78.89,97.07,76.82,71.88,88.10,88.24
385,1.671751769763476e-05,0.5663,82.55,DRW,72.69,82.15,78.96,97.10,76.76,72.08,88.26,88.24
386,1.609427140540686e-05,0.5606,82.56,DRW,72.69,82.07,78.99,97.10,76.83,72.08,88.26,88.24
387,1.5501183121470264e-05,0.5586,82.53,DRW,72.64,82.01,78.78,97.07,76.80,72.08,88.51,94.12
388,1.493828943030402e-05,0.5536,82.52,DRW,72.73,82.07,78.74,97.05,76.75,72.50,88.51,94.12
389,1.4405625053842511e-05,0.5710,82.55,DRW,72.73,82.12,78.71,97.10,76.79,72.29,88.43,94.12
390,1.3903222849333507e-05,0.5610,82.53,DRW,72.64,82.26,78.71,97.05,76.76,72.50,88.35,94.12
391,1.3431113807311486e-05,0.5670,82.51,DRW,72.82,82.04,78.74,97.08,76.67,72.50,88.51,94.12
392,1.29893270496861e-05,0.5726,82.47,DRW,72.78,82.04,78.74,97.01,76.61,72.50,88.68,94.12
393,1.2577889827945394e-05,0.5594,82.51,DRW,72.91,82.01,78.78,96.96,76.69,72.71,88.76,94.12
394,1.2196827521475402e-05,0.5652,82.52,DRW,72.82,82.01,78.81,97.00,76.71,72.71,88.68,94.12
395,1.184616363599408e-05,0.5668,82.51,DRW,72.51,81.98,78.92,97.01,76.76,72.50,88.68,94.12
396,1.1525919802101659e-05,0.5616,82.53,DRW,72.55,81.84,78.85,97.08,76.84,72.71,88.51,94.12
397,1.123611577394633e-05,0.5659,82.54,DRW,72.33,81.98,78.96,97.08,76.87,72.29,88.43,94.12
398,1.0976769428005579e-05,0.5526,82.50,DRW,72.20,81.81,79.03,97.10,76.83,72.50,88.43,88.24
399,1.0747896761983724e-05,0.5550,82.54,DRW,72.47,81.87,78.99,97.07,76.87,72.29,88.51,88.24
400,1.0549511893824899e-05,0.5687,82.49,DRW,72.33,81.84,78.78,97.03,76.89,72.08,88.43,88.24
