Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,CKplusIm Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,KDEFFormated Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
136,5.279499846691263e-05,0.8667,83.00,75.70,100.00,82.82,78.42,96.62,91.87,76.78,73.54,89.34,82.35
137,4.867773996369219e-05,0.8676,83.05,75.74,100.00,82.77,78.74,96.57,91.87,76.90,73.75,88.93,82.35
138,4.4760639485315584e-05,0.8667,82.98,75.56,100.00,82.63,78.46,96.60,91.87,76.86,73.33,89.17,82.35
139,4.104541520151373e-05,0.8650,83.01,75.52,100.00,82.60,78.49,96.67,92.34,76.91,73.12,89.17,82.35
140,3.7533696732446905e-05,0.8636,82.94,75.39,100.00,82.71,78.39,96.67,92.34,76.71,73.12,89.17,82.35
141,3.4227024433899005e-05,0.8539,82.97,75.34,100.00,82.77,78.46,96.60,92.58,76.80,72.92,89.26,82.35
142,3.112684872162672e-05,0.8666,82.98,75.43,100.00,82.88,78.14,96.67,92.58,76.83,72.29,89.42,82.35
143,2.823452943515924e-05,0.8657,82.92,75.30,100.00,82.82,77.88,96.66,92.58,76.84,71.88,89.42,82.35
144,2.5551335241327618e-05,0.8536,82.96,75.52,100.00,82.85,77.92,96.69,92.58,76.82,72.50,89.42,82.35
145,2.3078443077785655e-05,0.8653,82.98,75.39,100.00,82.96,78.03,96.71,92.82,76.83,72.29,89.34,82.35
146,2.081693763676624e-05,0.8434,83.02,75.65,100.00,83.05,77.96,96.73,92.82,76.84,72.29,89.34,82.35
147,1.876781088929914e-05,0.8647,83.03,75.74,100.00,83.10,77.92,96.80,92.82,76.83,71.88,89.34,82.35
148,1.6931961650100033e-05,0.8552,83.00,75.74,100.00,83.13,77.74,96.78,93.06,76.78,72.08,89.26,82.35
149,1.5310195183320777e-05,0.8473,83.07,75.70,100.00,83.33,77.92,96.82,93.06,76.85,72.29,89.01,82.35
150,1.3903222849333507e-05,0.8358,83.03,75.74,100.00,83.13,77.96,96.78,93.06,76.79,72.50,89.17,82.35
