Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
85,0.00042494505992413724,1.0926,79.45,71.98,77.88,76.17,93.95,73.21,70.21,86.36,82.35
86,0.0004227140409525287,1.0926,79.49,71.93,77.83,76.21,93.97,73.30,70.00,86.69,88.24
87,0.00042045653798965097,1.0898,79.51,72.20,77.97,76.21,93.92,73.27,70.00,86.61,88.24
88,0.00041817290752139166,1.1021,79.55,71.85,78.45,76.06,93.99,73.30,70.00,86.53,88.24
89,0.00041586351015947433,1.0909,79.51,72.02,78.42,75.96,93.95,73.15,70.21,86.78,88.24
90,0.0004135287105845139,1.0814,79.45,71.89,77.97,75.63,94.06,73.24,70.00,86.94,88.24
91,0.000411168877488429,1.0776,79.56,72.33,78.30,75.74,94.04,73.28,69.58,87.02,88.24
92,0.00040878438351622164,1.0945,79.51,72.38,78.36,75.74,94.10,73.07,69.79,86.86,88.24
93,0.0004063756052071319,1.0878,79.63,72.73,78.64,75.92,94.13,73.11,68.96,87.36,88.24
94,0.0004039429229351784,1.0822,79.67,72.60,78.87,75.78,94.15,73.22,68.33,87.44,88.24
95,0.00040148672084909217,1.0761,79.69,72.69,78.75,75.96,94.26,73.21,68.33,87.19,88.24
96,0.00039900738681165594,1.0761,79.63,72.07,78.53,75.74,94.38,73.27,68.33,87.36,88.24
97,0.00039650531233845557,1.0769,79.70,71.89,78.84,75.74,94.36,73.44,68.75,86.78,88.24
98,0.00039398089253605536,1.0674,79.65,71.40,78.59,75.63,94.40,73.49,68.75,87.19,88.24
99,0.0003914345260396061,1.0606,79.69,71.45,78.61,75.60,94.47,73.50,68.96,87.44,88.24
100,0.00038886661494989594,1.0684,79.81,71.14,78.87,75.81,94.51,73.71,68.75,87.60,88.24
101,0.0003862775647698542,1.0754,79.86,71.40,79.03,76.13,94.52,73.69,68.33,87.19,88.24
102,0.00038366778434051747,1.0696,79.95,71.85,79.34,75.99,94.47,73.84,68.12,86.94,82.35
103,0.0003810376857764691,1.0598,79.93,71.93,78.95,75.96,94.40,73.96,68.12,86.94,82.35
104,0.00037838768440076137,1.0666,79.99,71.98,79.09,75.67,94.47,74.04,69.17,87.02,82.35
105,0.00037571819867933143,1.0700,80.04,71.76,78.89,76.06,94.61,74.15,69.17,86.78,88.24
106,0.0003730296501549202,1.0543,80.07,72.02,79.06,75.81,94.65,74.17,69.17,86.53,88.24
107,0.0003703224633805065,1.0610,80.04,72.20,79.06,75.85,94.70,74.04,68.12,86.53,94.12
108,0.00036759706585226456,1.0654,80.02,72.07,79.01,75.74,94.74,74.01,68.96,86.53,94.12
109,0.000364853887942058,1.0484,80.09,72.33,79.15,75.74,94.83,74.06,68.12,86.61,94.12
110,0.00036209336282947856,1.0513,80.10,72.20,79.12,75.74,94.83,74.16,67.71,86.69,88.24
111,0.00035931592643344284,1.0531,80.11,72.38,79.03,75.81,94.86,74.11,68.54,86.53,88.24
112,0.0003565220173433547,1.0447,80.08,72.24,79.23,75.67,94.86,74.02,68.75,86.53,88.24
113,0.00035371207674984737,1.0332,80.10,72.16,79.12,75.81,94.84,74.03,69.17,86.78,88.24
114,0.00035088654837511465,1.0509,80.06,72.24,79.03,75.71,94.95,73.94,69.38,86.53,88.24
115,0.0003480458784028413,1.0320,80.08,72.07,79.09,75.85,94.97,73.94,69.17,86.61,88.24
116,0.0003451905154077461,1.0358,80.23,72.55,79.12,76.06,95.02,74.16,68.96,86.61,88.24
117,0.0003423209102847464,1.0399,80.19,72.73,78.84,75.96,95.00,74.11,68.75,86.94,94.12
118,0.00033943751617775673,1.0341,80.28,72.86,78.92,75.85,94.95,74.26,69.38,87.27,94.12
119,0.0003365407884081318,1.0357,80.30,72.78,78.92,76.06,94.88,74.36,69.38,87.19,88.24
120,0.0003336311844027663,1.0221,80.32,72.42,78.78,76.21,94.93,74.47,70.00,87.02,88.24
121,0.00033070916362186215,1.0369,80.38,72.20,79.03,76.24,94.93,74.55,70.42,87.02,94.12
122,0.0003277751874863736,1.0224,80.41,72.11,78.92,76.21,95.09,74.58,70.21,87.36,94.12
123,0.00032482971930514415,1.0293,80.41,71.67,78.87,76.28,94.95,74.74,70.62,87.52,94.12
124,0.0003218732242017447,1.0197,80.42,71.67,78.61,76.31,95.11,74.74,70.62,87.60,94.12
125,0.0003189061690410247,1.0211,80.41,71.31,78.39,76.13,95.16,74.88,71.25,87.85,88.24
126,0.0003159290223553894,1.0263,80.40,71.58,78.75,76.21,95.18,74.68,70.00,87.69,88.24
127,0.0003129422542708126,1.0138,80.39,71.49,78.98,76.28,95.13,74.63,70.00,87.44,88.24
128,0.00030994633643259843,1.0183,80.46,71.54,78.92,76.24,95.11,74.86,69.58,87.60,88.24
129,0.00030694174193090346,1.0018,80.43,71.31,78.89,76.46,95.11,74.79,69.17,87.60,88.24
130,0.00030392894522602974,1.0107,80.48,71.05,79.06,76.38,95.11,74.96,69.38,87.60,88.24
131,0.0003009084220735025,1.0191,80.44,71.31,78.81,76.06,95.02,75.01,70.21,87.44,88.24
132,0.0002978806494489427,1.0162,80.47,71.23,79.17,75.99,95.18,74.88,70.21,87.44,88.24
133,0.0002948461054727465,0.9965,80.47,71.05,79.09,75.99,95.23,74.95,70.21,87.36,88.24
134,0.0002918052693345855,1.0110,80.52,71.23,79.32,76.06,95.25,74.96,69.58,87.19,88.24
135,0.0002887586212177364,1.0059,80.49,71.27,79.23,76.03,95.25,74.98,68.75,87.11,94.12
136,0.00028570664222325455,1.0085,80.57,71.18,79.43,76.17,95.34,75.03,69.38,86.86,94.12
137,0.000282649814294003,1.0061,80.55,71.14,79.20,76.28,95.32,75.06,68.96,86.94,94.12
138,0.00027958862013854766,0.9965,80.47,71.14,79.29,76.24,95.39,74.73,68.96,87.27,94.12
139,0.00027652354315493215,0.9930,80.46,71.49,79.23,76.28,95.39,74.64,68.96,87.11,94.12
140,0.00027345506735434354,0.9895,80.51,71.58,79.12,76.28,95.47,74.69,69.17,87.44,94.12
